설립구분,학교명,도로명주소,설립일자
공립,서울신화초등학교,서울특별시 도봉구 우이천로 120,19840730
공립,서울신흥초등학교,서울특별시 금천구 독산로36나길 21,19911030
공립,서울쌍문초등학교,서울특별시 도봉구 우이천로 360,19740430
공립,서울아주초등학교,서울특별시 송파구 올림픽로4길 59,19861217
공립,서울아현초등학교,서울특별시 마포구 굴레방로 6,19250402
공립,서울안산초등학교,서울특별시 서대문구 통일로 321,19360619
공립,서울안암초등학교,서울특별시 성북구 고려대로7가길 39,19560324
공립,서울안천초등학교,서울특별시 금천구 한내로 69-16,19910121
공립,서울안평초등학교,서울특별시 동대문구 장한로14길 61,19900716
공립,서울압구정초등학교,서울특별시 강남구 압구정로39길 29,19760820
공립,서울양강초등학교,서울특별시 양천구 오목로 101,19870423
공립,서울양남초등학교,서울특별시 광진구 뚝섬로64길 71,19831203
공립,서울양동초등학교,서울특별시 양천구 오목로23길 24,19720811
공립,서울양명초등학교,서울특별시 양천구 중앙로 204,19821110
공립,서울양목초등학교,서울특별시 양천구 목동로11길 30,19800417
공립,서울양원숲초등학교,서울특별시 중랑구 양원역로 95,20220301
공립,서울양원초등학교,서울특별시 양천구 화곡로 16,19901201
공립,서울양재초등학교,서울특별시 서초구 바우뫼로18길 14,19830719
공립,서울양전초등학교,서울특별시 강남구 개포로 513,19881221
공립,서울양진초등학교,서울특별시 광진구 워커힐로 32,20050301
공립,서울양천초등학교,서울특별시 강서구 양천로 329,19000401
공립,서울양화초등학교,서울특별시 양천구 목동중앙북로16길 57,19780803
공립,서울어울초등학교,서울특별시 은평구 통일로 650,20180901
공립,서울언남초등학교,서울특별시 서초구 헌릉로8길 42,19340416
공립,서울언북초등학교,서울특별시 강남구 삼성로135길 42,19450401
공립,서울언주초등학교,서울특별시 강남구 남부순환로363길 19,19270916
공립,서울여의도초등학교,서울특별시 영등포구 여의대방로 439,19711101
공립,서울역삼초등학교,서울특별시 강남구 강남대로66길 21,19780721
공립,서울역촌초등학교,서울특별시 은평구 은평로3길 25,19721201
공립,서울연가초등학교,서울특별시 서대문구 증가로12가길 49-50,19721130
공립,서울연광초등학교,서울특별시 은평구 연서로35길 37,20040301
공립,서울연신초등학교,서울특별시 은평구 연서로 347,19760318
공립,서울연은초등학교,서울특별시 은평구 백련산로2길 35,19831020
공립,서울연지초등학교,서울특별시 노원구 월계로55길 48,19980301
공립,서울연천초등학교,서울특별시 은평구 연서로34길 22,19841205
공립,서울연촌초등학교,서울특별시 노원구 공릉로58길 36,19451110
공립,서울연희초등학교,서울특별시 서대문구 연희로 136,19681207
공립,서울염경초등학교,서울특별시 강서구 양천로69길 49,20050901
공립,서울염동초등학교,서울특별시 강서구 양천로73길 17,19970516
